,Date,Model Name,Parameters,Evaluation Name,Threshold,Result
559,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.05,1
562,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.1,1
565,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.01,1
569,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.3,1
575,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.2,1
578,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.02,1
581,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.05,1
584,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.1,1
587,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.01,1
591,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.3,1
597,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.2,1
600,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.02,1
603,2013-06-25 00:00:00 - 2013-12-22 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.05,1
